n,repetition,seed,method,dimension,runtime_seconds,status,error,timing_scope
400,8,21161521,dLOCO,50,165.04524883022532,SUCCESS,,evaluate_only
400,8,21161521,OT,50,13.06988029088825,SUCCESS,,evaluate_only
400,8,21161521,EOT,50,11.003768695052713,SUCCESS,,evaluate_only
400,8,21161521,FDFI,50,45.620302820112556,SUCCESS,,evaluate_only
400,8,21161521,SHAP,10,1560.665505329147,SUCCESS,,evaluate_only
600,8,21161521,CPI,50,123.20506670186296,SUCCESS,,evaluate_only
600,8,21161521,LOCO,50,97.59567788988352,SUCCESS,,evaluate_only
600,8,21161521,nLOCO,50,204.05941955419257,SUCCESS,,evaluate_only
600,8,21161521,dLOCO,50,240.10724224196747,SUCCESS,,evaluate_only
600,8,21161521,OT,50,20.032933940179646,SUCCESS,,evaluate_only
600,8,21161521,EOT,50,17.868454399053007,SUCCESS,,evaluate_only
600,8,21161521,FDFI,50,57.87779934005812,SUCCESS,,evaluate_only
600,8,21161521,SHAP,10,1517.143752463162,SUCCESS,,evaluate_only
800,8,21161521,CPI,50,142.66032992163673,SUCCESS,,evaluate_only
800,8,21161521,LOCO,50,98.3599236421287,SUCCESS,,evaluate_only
800,8,21161521,nLOCO,50,207.72414850397035,SUCCESS,,evaluate_only
800,8,21161521,dLOCO,50,308.53612772002816,SUCCESS,,evaluate_only
800,8,21161521,OT,50,25.50799892982468,SUCCESS,,evaluate_only
800,8,21161521,EOT,50,25.628874331712723,SUCCESS,,evaluate_only
800,8,21161521,FDFI,50,72.56166382227093,SUCCESS,,evaluate_only
800,8,21161521,SHAP,10,1559.2194752679206,SUCCESS,,evaluate_only
1000,8,21161521,CPI,50,163.14844785118476,SUCCESS,,evaluate_only
1000,8,21161521,LOCO,50,98.50999948428944,SUCCESS,,evaluate_only
1000,8,21161521,nLOCO,50,197.19624235201627,SUCCESS,,evaluate_only
1000,8,21161521,dLOCO,50,381.98147341702133,SUCCESS,,evaluate_only
1000,8,21161521,OT,50,34.527547916863114,SUCCESS,,evaluate_only
1000,8,21161521,EOT,50,34.35608049901202,SUCCESS,,evaluate_only
1000,8,21161521,FDFI,50,93.9937557503581,SUCCESS,,evaluate_only
1000,8,21161521,SHAP,10,1636.4279858372174,SUCCESS,,evaluate_only
200,9,21161621,CPI,50,89.55278379889205,SUCCESS,,evaluate_only
200,9,21161621,LOCO,50,100.88842370780185,SUCCESS,,evaluate_only
